wl,n
0.73,2.16
0.8,2.38
0.9,2.94
1.0,3.46
1.1,3.68
1.15,3.75
1.2,3.74
1.3,3.65
1.4,3.46
1.5,3.29
1.7,3.12
2.0,3.09
2.5,3.62
3.0,4.40
4.0,6.18
5.0,8.49
6.0,11.0
7.0,13.8
8.0,16.6
9.0,19.3
10,22.0
11,24.8
12,27.8

wl,k
0.73,6.35
0.8,6.68
0.9,7.28
1.0,7.40
1.1,7.50
1.15,7.58
1.2,7.68
1.3,7.92
1.4,8.26
1.5,8.72
1.7,9.92
2.0,11.8
2.5,14.8
3.0,17.8
4.0,23.2
5.0,28.5
6.0,33.1
7.0,37.1
8.0,40.6
9.0,43.8
10,46.4
11,49.0
12,51.6
