Row,Material,Thickness (nm),Auto Thickness,Auto Wavelength (nm),Auto Fraction
incident,Air,1.00E+06,0,4360,0.25
1,SiO,882,1,4360,0.25
substrate,Si,1.00E+06,0,4360,0.25
exit,Si,1000000,0,4630,0.25
